SITE_ID,NARS_NAME,LAKE_ORGN,LAT_DD83,LON_DD83,DpthMx_use
NLA17_AL-10002,None,MAN_MADE,33.67333,-86.16453,NA
NLA17_FL-10001,Lake Okeechobee,NATURAL,26.94453,-80.83291,NA
NLA17_FL-10001,Lake Okeechobee,NATURAL,26.94453,-80.83291,NA
NLA17_MS-10003,None,MAN_MADE,34.46148,-89.68451,NA
NLA17_NV-10005,Pyramid Lake,NATURAL,40.0481,-119.5655,NA
NLA17_SC-10002,Lib Pines Lake,MAN_MADE,33.46314,-80.38935,NA
NLA17_SC-10002,Lib Pines Lake,MAN_MADE,33.46314,-80.38935,NA
NLA17_SC-10023,None,MAN_MADE,33.92321,-82.3781,NA
NLA17_SD-10001,Lake Oahe,MAN_MADE,44.6471,-100.7009,NA
NLA17_SD-10001,Lake Oahe,MAN_MADE,44.6471,-100.7009,NA
NLA17_SD-10019,Bedners Dam,MAN_MADE,45.07697,-101.6429,NA
NLA17_SD-10053,Lake Francis Case,MAN_MADE,43.4431,-99.25761,NA
